username,total_commits,total_additions,total_deletions,total_pull_requests,total_issues,first_contribution,last_contribution,contribution_span_days,avg_commits_per_day,label,avg_additions_per_commit,avg_deletions_per_commit,additions_deletions_ratio,code_changes,code_changes_per_commit
BenMan95,1,1,0,0,0,2021-05-13 17:07:30,2021-05-13 17:07:30,1.0,1.0,0,1.0,0.0,1.0,1,1.0
AstralShadow,1,1687,1,0,0,2021-03-28 13:42:37,2021-03-28 13:42:37,1.0,1.0,0,1687.0,1.0,843.5,1688,1688.0
amrsoll,1,16,0,0,0,2019-09-05 14:01:25,2019-09-05 14:01:25,1.0,1.0,0,16.0,0.0,16.0,16,16.0
aawwaaa,1,1,1,0,0,2023-12-09 13:37:56,2023-12-09 13:37:56,1.0,1.0,0,1.0,1.0,0.5,2,2.0
avevad,1,3,1,0,0,2020-01-23 23:07:37,2020-01-23 23:07:37,1.0,1.0,0,3.0,1.0,1.5,4,4.0
Atan599,1,59,59,0,0,2019-12-11 15:51:34,2019-12-11 15:51:34,1.0,1.0,0,59.0,59.0,0.9833333333333333,118,118.0
Arzxq,1,1,1,0,0,2023-09-29 04:48:06,2023-09-29 04:48:06,1.0,1.0,0,1.0,1.0,0.5,2,2.0
ARYDESTROYER,1,18,0,0,0,2020-09-08 14:21:06,2020-09-08 14:21:06,1.0,1.0,0,18.0,0.0,18.0,18,18.0
0Nera,1,5,0,0,0,2022-08-03 23:37:02,2022-08-03 23:37:02,1.0,1.0,0,5.0,0.0,5.0,5,5.0
MV-Studio14,1,225,220,0,0,2022-08-23 12:33:46,2022-08-23 12:33:46,1.0,1.0,0,225.0,220.0,1.0180995475113122,445,445.0
BnDLett,1,1,1,0,0,2023-12-08 22:03:40,2023-12-08 22:03:40,1.0,1.0,0,1.0,1.0,0.5,2,2.0
5GameMaker,1,1,1,0,0,2024-05-13 14:30:42,2024-05-13 14:30:42,1.0,1.0,0,1.0,1.0,0.5,2,2.0
hydrophobis,1,3,1,0,0,2024-10-26 00:30:16,2024-10-26 00:30:16,1.0,1.0,0,3.0,1.0,1.5,4,4.0
rangzen,1,26,0,2,1,2018-03-15 20:18:06,2018-03-15 20:18:06,1.0,1.0,0,26.0,0.0,26.0,26,26.0
Camork,1,1,1,1,0,2019-10-21 16:14:49,2019-10-21 16:14:49,1.0,1.0,0,1.0,1.0,0.5,2,2.0
sparr,1,34,7,1,0,2018-12-13 22:35:24,2018-12-13 22:35:24,1.0,1.0,0,34.0,7.0,4.25,41,41.0
Clauskem,1,41,41,1,0,2019-11-17 20:51:45,2019-11-17 20:51:45,1.0,1.0,0,41.0,41.0,0.9761904761904762,82,82.0
00Bread00,1,4,0,1,0,2024-03-16 14:49:13,2024-03-16 14:49:13,1.0,1.0,0,4.0,0.0,4.0,4,4.0
12358abc,1,75,73,1,2,2019-11-05 23:55:31,2019-11-05 23:55:31,1.0,1.0,0,75.0,73.0,1.0135135135135136,148,148.0
315923876,1,1,1,4,0,2024-10-04 18:31:24,2024-10-04 18:31:24,1.0,1.0,0,1.0,1.0,0.5,2,2.0
AFARIUS,1,0,0,1,1,2024-01-03 21:51:14,2024-01-03 21:51:14,1.0,1.0,0,0.0,0.0,0.0,0,0.0
Aaron2550,1,5,5,0,0,2020-01-08 15:20:56,2020-01-08 15:20:56,1.0,1.0,0,5.0,5.0,0.8333333333333334,10,10.0
AceEllysium,1,833,0,0,0,2019-02-25 00:59:20,2019-02-25 00:59:20,1.0,1.0,0,833.0,0.0,833.0,833,833.0
adwitkow,1,76,76,0,0,2019-11-14 19:42:15,2019-11-14 19:42:15,1.0,1.0,0,76.0,76.0,0.987012987012987,152,152.0
Ahsoka-501,1,1,5,0,0,2021-06-03 16:11:52,2021-06-03 16:11:52,1.0,1.0,0,1.0,5.0,0.16666666666666666,6,6.0
agalera,1,2,2,0,0,2020-05-13 00:03:23,2020-05-13 00:03:23,1.0,1.0,0,2.0,2.0,0.6666666666666666,4,4.0
alexmaurizio,1,2,2,0,0,2020-01-08 15:30:11,2020-01-08 15:30:11,1.0,1.0,0,2.0,2.0,0.6666666666666666,4,4.0
alxgsv,1,365,281,0,0,2023-06-04 16:43:07,2023-06-04 16:43:07,1.0,1.0,0,365.0,281.0,1.2943262411347518,646,646.0
kbni,1,6,0,0,0,2020-05-10 17:37:13,2020-05-10 17:37:13,1.0,1.0,0,6.0,0.0,6.0,6,6.0
Alex25820,1,102,106,0,0,2022-07-03 18:47:26,2022-07-03 18:47:26,1.0,1.0,0,102.0,106.0,0.9532710280373832,208,208.0
heckelson,1,176,175,0,0,2020-02-12 00:46:13,2020-02-12 00:46:13,1.0,1.0,0,176.0,175.0,1.0,351,351.0
Ameb,1,26,2,0,0,2018-07-28 15:24:20,2018-07-28 15:24:20,1.0,1.0,0,26.0,2.0,8.666666666666666,28,28.0
Amon-Senpai,1,3,3,0,0,2019-10-06 09:58:00,2019-10-06 09:58:00,1.0,1.0,0,3.0,3.0,0.75,6,6.0
andreasgamborg,1,1264,0,0,0,2020-02-16 15:42:39,2020-02-16 15:42:39,1.0,1.0,0,1264.0,0.0,1264.0,1264,1264.0
ideasman42,100,5615,4631,0,0,2024-11-02 04:08:30,2024-11-27 09:32:51,25.0,4.0,1,56.15,46.31,1.2122193436960276,10246,102.46
sergeyvfx,100,2317,12071,0,0,2024-07-02 13:59:33,2024-11-27 10:06:43,147.0,0.6802721088435374,0,23.17,120.71,0.19193174287607687,14388,143.88
HansGoudey,100,4969,9290,0,0,2024-11-01 15:59:50,2024-11-27 14:17:16,25.0,4.0,1,49.69,92.9,0.5348186416962653,14259,142.59
brechtvl,100,4686,2462,0,0,2024-04-29 19:07:25,2024-07-12 17:33:57,73.0,1.36986301369863,1,46.86,24.62,1.902557856272838,7148,71.48
tonroosendaal,100,5287,85043,0,0,2013-03-04 17:06:16,2018-04-19 15:34:44,1871.0,0.05344735435595938,0,52.87,850.43,0.06216781901133531,90330,903.3
JacquesLucke,100,9349,9709,0,0,2024-09-30 12:14:22,2024-11-26 16:01:14,57.0,1.7543859649122806,1,93.49,97.09,0.962821833161689,19058,190.58
Aligorith,100,2787,872,0,0,2018-05-22 14:22:28,2019-03-01 13:15:54,282.0,0.3546099290780142,0,27.87,8.72,3.1924398625429555,3659,36.59
julianeisel,100,6362,3232,0,0,2024-08-30 15:00:10,2024-11-27 17:53:05,89.0,1.1235955056179776,1,63.62,32.32,1.9678317352304362,9594,95.94
dfelinto,100,2444,1476,0,0,2019-05-14 22:31:15,2020-03-19 08:29:30,309.0,0.32362459546925565,0,24.44,14.76,1.6547054840893702,3920,39.2
Antonioya,100,3219,860,0,0,2022-09-23 16:49:54,2024-01-12 12:40:00,475.0,0.21052631578947367,0,32.19,8.6,3.7386759581881535,4079,40.79
